질환명,동의어,증상 키워드,증상1,증상2
과민성 대장 증후군,"['과민성대장', '과민성대장증후군', '과민성장증후군', '과민성창자', '과민성창자증후군', '자극성창자증후군', '자극성대장증후군', '자극성장증후군']","['점액변', '복부통증', '두통', '체중감소', '설사', '위경련', '변비', '복통', '배속가스']","전형적인 증상으로는 복통과 배변 습관의 변화를 들 수 있는데 복통이 심하더라도 배변 후에는 호전되는 특징을 보인다. 점액질 변, 복부팽만이나 잦은 트림, 방귀, 전신 피로, 두통, 불면, 어깨 결림 등의 증상도 나타나지만, 이러한 증상이 수개월 또는 수년간 계속되더라도 몸 상태에 별다른 영향을 미치지 않는 것이 과민성 대장 증후군의 특징이다.","대장은 정상적으로 하루 1회 정도 배변을 유도하도록 움직입니다. 그러나 대장이 과민해진 경우 대장이 지나치게 움직여 설사가 유발되거나, 이와는 반대로 움직임을 급격히 멈춰 변비를 일으킬 수 있습니다. 즉, 자극성 장 증후군 환자는 설사 또는 변비, 혹은 두 가지 모두가 규칙적으로 반복되며 만성적인 복통에 시달립니다. 심한 복통도 배변 후에는 대부분 호전됩니다. "
당뇨병,['당뇨'],"['다음', '단백뇨', '고혈당', '시야장애', '체중감소', '저림', '피로감', '다뇨', '거품뇨', '변비', '저혈압', '다식', '무감각증', '소양감']","약한 고혈당에서는 대부분의 환자들이 증상을 느끼지 못하거나 모호해서 당뇨병이라고 생각하기 어렵다. 혈당이 많이 올라가면 갈증이 나서 물을 많이 마시게 되고, 소변량이 늘어 화장실을 자주 가게 된다. 또한 체중이 빠지게 된다. 오랜 기간 고혈당 상태가 유지되면 신체에서 여러 합병증이 발생하는데, 대표적인 것이 망막병증(실명할 수 있음), 신기능장애(신기능 저하로 심할 경우 투석이 필요함), 신경병증(저림, 통증)이고, 심혈관계 질환의 위험이 높아지게 된다.","당뇨병에 걸리면 소변으로 포도당이 빠져나가는데, 이때 수분을 같이 끌고 나가기 때문에 소변량이 늘어납니다. 그 결과 몸 안에 수분이 부족하여 심한 갈증을 느끼게 됩니다. 또한 영양분이 몸에서 이용되지 않고 빠져나가므로 피로감을 잘 느낍니다. 또한 잘 먹는데도 불구하고 체중이 감소합니다. "
심부전,"['울혈성심부전', '울혈성심부전증', '울혈심부전', '울혈심부전증']","['야뇨증', '호흡곤란', '심부전', '울혈성심부전', '두통', '불면증', '소변량감소', '부종', '청색증', '호흡장애', '빈맥', '피로', '기침']","가장 흔하고 중요한 증상은 숨이 차는 것(호흡곤란)이다. 계단을 오르기만 해도 과도하게 숨이 차고 이것이 지속된다면 한번쯤 심부전을 의심해 보아야 한다. 물론 이것은 다른 질병(빈혈, 폐나 늑막 질환, 신부전 등)이 원인일 수도 있다.

호흡곤란은 주로 심장에 혈액이 정체(울혈)되면서 심실의 충만 압력이 높아지고 이로 인해 심장으로 들어오는 폐 혈관에 혈액이 정체되어 생기고 이로 인해 기침이 발생할 수 있다. 호흡곤란은 정도에 따라 운동 시 호흡곤란, 누웠을 때 호흡곤란, 발작성 야간 호흡곤란 등으로 진행한다.

심장에서 혈액을 제대로 짜내지 못하므로 피로감과 운동 능력 저하가 나타나게 된다. 우측 심장의 기능이 떨어지면 심장으로 들어오는 혈액이 정체되면서 부종, 간 비대, 복수가 나타날 수 있고 심할 경우 소변량 감소 및 체중 증가로 이어질 수 있다.

부종은 주로 낮은 부위(예: 발목이나 종아리 등)에 나타나며 심할 경우 전신 부종이 될 수 있다. 또한 심장이 커지면서 여러 부정맥이 나타날 수 있다. 장기간의 심부전에서는 여러 원인에 의해 식욕 부진 및 이로 인한 악액질(cachexia, 만성적 영양불량 상태)이 나타날 수 있고, 노령의 심부전에서는 혼돈, 불안, 우울증 등이 나타나기도 한다.","울혈성 심부전의 일반적인 증상으로는 전반적으로 몸이 약해짐, 피곤함, 운동을 조금만 해도 힘듦, 중추신경 증상(착란, 불면, 두통), 빈맥, 야뇨증, 청색증 등이 있습니다. 또한 전신적 울혈, 폐의 울혈, 말초의 저관류, 교감 신경의 활성 증가로 인한 증상이 나타납니다. 대부분은 초기에 좌심실 부전이 먼저 일어나고, 이것이 우심실의 부담을 증가시켜 결국 우심실 부전이 일어납니다."
천식,"['소아천식', '운동유발성천식', '직업성천식']","['가슴답답', '호흡곤란', '호흡장애', '가래', '천명음', '기침', '만성기침']","기관지 천식의 대표적인 증상은 호흡곤란, 기침, 천명(쌕쌕거리는 거친 숨소리)이다. 이러한 증상이 반복적으로, 발작적으로 나타나지만 실제로 천식 환자는 전형적인 천식의 증상 외에 비전형적인 증상을 호소하는 경우도 많다. 즉, 호흡곤란이나 쌕쌕거리는 숨소리 등의 증상은 없고 단지 마른 기침만 반복적으로 나타나는 경우, 가슴이 답답하거나 흉부 압박감을 호소하는 경우 또는 목구멍에 가래가 걸려있는 것 같은 증상만을 호소하는 경우도 있다. 일반적으로 감기에 걸린 후에 호흡곤란이 악화하거나, 달리기 같은 운동 후에 호흡곤란, 거친 숨소리 증상들이 많이 나타난다.

때로는 심한 천식 발작으로 즉각적인 응급치료 및 입원 치료가 절대적으로 필요한 경우가 있는데, 이때 환자는 곧 죽을 것 같은 공포를 느끼며, 실제로 심한 천식 발작은 생명을 위협하기도 한다. 하지만 천식 약물을 적절하게 사용하고 환경 관리를 잘 한다면 정상 건강인처럼 살아갈 수 있다.",기관지 천식은 유전적 요인과 환경적인 요인이 함께 상호작용하여 나타납니다.
급성 대장염,"['급성대장염', '대장질환', '만성대장염']","['혈변', '구토', '점액변', '구역', '설사', '열', '발열', '배변습관의변화', '복통']","대표적인 증상은 설사이다. 세균에 감염되면 장관 내로 수분과 전해질이 흡수되지 않고 오히려 분비되어 발생한다. 바이러스성 장염은 발열, 구토, 물 같은 설사, 배꼽 주위 복통이 나타난다. 심한 복통, 고열, 다량의 설사 그리고 혈액이 묻어 나오는 설사인 경우는 세균성 장염인 것으로 생각해 볼 수 있다. 대부분의 장염은 일주일 이내에 저절로 호전되나 유아나 고령자, 면역 결핍자는 탈수나, 고열 증상이 심하다.","대장염 중에서도 각각의 질환에 따라 증상이 다릅니다. 다만 복통, 설사 등이 공통적으로 나타날 수 있습니다. 또한 발열, 혈변, 구역, 구토가 동반될 수 있습니다."
감기,"['common cold', '감기']","['비루', '재채기', '근육통', '두통', '피로감', '발열', '열', '비폐색', '목의통증', '코막힘', '인두통및인후통', '콧물', '기침']","감기 바이러스에 노출된 지 1~3일 후에 증상이 나타난다. 증상은 감기 바이러스가 상부 호흡기계에 어느 정도 침투했는가에 따라 다양하게 나타난다. 콧물, 코막힘, 목 부위의 통증, 기침과 근육통이 흔하게 나타나는 증상이다. 성인에게서 열이 나는 경우는 드물거나 미열에 그치지만, 소아에게서는 발열 증상이 흔하게 나타난다. 결막염이 동반되어 눈물이 날 수도 있다. 환자의 연령, 기존에 앓고 있었던 질환, 면역상태 등에 따라 증상의 정도가 달라질 수 있다. 감기의 경과 중에 다른 합병증이 없어도 콧물이 진해지고, 누렇거나 푸르게 변하기도 한다.","콧물과 코막힘이 계속되면 구강으로 호흡을 하게 되어 목이 마르고 붓습니다. 편도 쪽에 염증이 생기기도 하며, 편도염이 생기면 고열, 연하(삼킴) 곤란, 호흡 곤란 등의 증상이 나타날 수 있습니다. 편도염이 자주 재발하는 경우 편도선 절제술을 시행하기도 합니다. 수술은 개개인에 따라 기대되는 효과에 따라 시행하므로 전문의와 상담 후에 결정해야 합니다."
급성 경막하 출혈,"['subdural hemorrhage', '경막하출혈', '경막하혈종', '급성경막하출혈']","['구토', '두통', '호흡곤란', '구역', '반신마비', '호흡장애', '혼수']","급성 경막하 출혈은 가장 심각한 형태의 두부 외상으로서 많은 경우에 의식장애가 동반된다. 응급실에 도착할 때 이미 혼수상태에 있는 경우도 볼 수 있다. 초기에는 인지 기능과 지남력(사물을 가리키거나 지적할 수 있는 능력)이 저하되어 의사소통이 잘 되지 않거나 자꾸 잠을 자려는 경향을 보이기도 한다. 출혈이 계속되고 뇌 부종(cerebral edema)이 생기면서 뇌압이 증가하면 환자의 의식이 급격하게 악화되면서 반신 마비, 동공 확대, 호흡곤란 등이 나타나고 환자는 완전한 혼수상태에 빠지게 된다.
출혈이 경미하고 뇌 실질의 손상이 없는 경우 환자의 의식상태가 양호하여 두통만 호소하는 경우도 있다.","외상성 경막하 출혈의 가장 흔한 증상은 두통, 한쪽의 위약감, 경련, 시야 장애, 언어 장애 등입니다. 출혈 초기에는 인지 기능이 저하되고, 의사소통이 잘 되지 않으며, 자꾸 잠을 자려는 모습을 보입니다. 출혈이 계속되어 뇌압이 증가하면 의식 장애가 악화되면서 반신 마비, 동공  확대, 호흡 곤란, 혼수상태 등의 증상이 나타납니다. 반면 출혈이 가볍고 뇌압 상승 등의 이상 없는 경우 의식 장애 없이 두통만 호소하기도 합니다."
인플루엔자,['독감'],"['구토', '근육통', '두통', '설사', '오한', '발열', '열', '목의통증', '인두통및인후통', '기침']","두통, 발열, 오한, 근육통과 같은 전신 증상이 갑자기 발생하면서 목이 아프고 기침이 나는 등의 호흡기 증상이 동반된다. 환자가 느끼는 이러한 증상은 매우 다양해서, 감기와 비슷하게 발열이 없는 호흡기 증상만 나타나는 경우도 있고, 전형적으로 고열과 호흡기 증상을 동반하는 경우도 있다.","독감의 증세는 일반적인 감기보다 심합니다. 피로감이 동반된 고열이 생기고, 심한 두통과 오한, 근육통을 호소합니다. 전신 증상과 함께 인후통, 기침, 콧물 등의 증상이 동반됩니다. 건강한 성인이 아주 독한 감기에 걸려서 2~3일 정도 일하기가 어려울 정도로 심한 증상이 나타나면 독감에 걸렸을 가능성이 큽니다. 어린아이의 경우에는 침을 많이 흘리고, 잘 먹지 못하며, 심하게 보채고, 잠을 잘 이루지 못합니다. 오심, 구토, 설사, 복통 등 위장관 증상이 빈번하게 나타나며, 때로는 열성 경련이 나타나기도 합니다."
긴장성 두통,['긴장성두통'],"['두통', '압통']","긴장성두통은 흔히 두피(두개골 밖)에 분포하는 근육이 지속적으로 수축하면서 발생한다. 긴장성두통 환자가 호소하는 통증은 일반적으로 박동성이지 않은 압박감, 조이는 느낌, 또는 머리나 어깨를 짓누르는 느낌 등으로 나타나며 대부분 양측에 모두 나타난다. 대개 띠가 머리를 두른 듯 둔하고 지속적인 두통이 느껴지며 진통제에 의해 잘 완화되는 편이다. 일부 환자에게서는 통증이 심할 때 주기적인 박동성을 가지는 통증이 나타날 수 있다. 통증의 강도는 대부분 가볍기 때문에 두통이 있을 때에도 일상생활을 할 수 있다. 다만 두통의 빈도가 잦은 경우에는 다소 강한 두통이 발생할 수도 있다. 긴장성두통 환자의 경우, 편두통과는 다르게 일상생활에 의하여 두통이 악화되지 않는 것이 특징이다. 일반적으로 스트레스, 수면 부족, 피로, 금식, 음주 등에 의해 긴장성두통이 악화된다.","근육 긴장성 두통 환자가 호소하는 통증은 일반적으로 박동성이 아닌 압박감, 조이는 느낌, 머리나 어깨를 짓누르는 느낌 등입니다. 대부분 머리 양측에서 모두 나타나며, 머리에 띠를 두른 듯한 둔하고 지속적인 두통이 느껴집니다. 몇 시간에서 며칠 동안 이어지기도 하며, 규칙적으로 나타나는 경우는 드뭅니다. 두통의 빈도는 다양하여 매일 나타나기도 하고 가끔 나타나기도 합니다. 오후에 악화되는 경향이 있습니다. 진통제에 의해 잘 완화되는 편입니다."
고산병,"['altitude sickness', '산악병']","['구토', '말초부종', '의식장애', '어지럼증', '수면장애', '두통', '호흡곤란', '구역', '어지러움', '식욕부진', '기침', '의식변화', '청색증', '호흡장애', '마비', '탈수', '혼수']","급성산악병은 가벼운 두통과 숨이 답답한 증상으로 시작하여 대개 등산 후 1~6시간 사이에 발생한다. 몸을 구부리거나 뱃 속 압력을 높이는 발살바 메뉴버(Valsalva maneuver)시에 이마 쪽으로 두통이 심해지고, 비특이적인 식욕저하, 구역(메슥거림), 구토 등의 소화기 증상과 권태감, 위약감, 소변양 감소, 수면장애가 발생할 수 있다.

고산병의 심각한 증상인 고산뇌수종은 실조증과 의식저하 등이 나타나며, 12시간 내에 치료하지 않으면 혼수에 빠지게 된다.
고산폐수종 환자는 초기에 마른기침을 하고, 운동하면 호흡곤란, 폐수포음이 들리며, 더욱 심해지면 청색증과 거품이 섞인 기침, 안정시 호흡곤란, 의식저하가 발생하여 최악의 경우 사망할 수 있다.","산의 오르막(경사) 정도나 산의 높이, 고산지대에서의 신체활동 정도, 개인의 감수성에 따라 증상이 다르게 나타날 수 있습니다."
